"","lhs","op","rhs","block","group","label","est","se","z","pvalue","ci.lower","ci.upper"
"1","IQ","=~","reading_n_total_Norm",1,1,"",1,0,NA,NA,1,1
"2","IQ","=~","sums_n_total_Norm",1,1,".p2.",1.11960767712157,0.0610604722858298,18.3360467944071,0,0.999931350562338,1.2392840036808
"3","IQ","=~","digit_span_n_correct_Norm",1,1,".p3.",0.699005551945901,0.0579160077782383,12.0692979153951,0,0.585492262572212,0.81251884131959
"4","IQ","=~","dot_matrix_n_correct_Norm",1,1,".p4.",0.806321227034996,0.060853199539821,13.2502684021956,0,0.687051147592918,0.925591306477075
"5","IQ","=~","cancellation_marked_intertime_Norm",1,1,".p5.",-0.774128846717148,0.0629836039495678,-12.2909582521986,0,-0.897574442074836,-0.650683251359461
"6","IQ","=~","ans_IRT_ScoreNorm",1,1,".p6.",0.766514030315447,0.0601902766993012,12.7348480909101,0,0.648543255765316,0.884484804865578
"7","IQ","=~","cattell_IRT_ScoreNorm",1,1,".p7.",0.86943272348931,0.0656011543539938,13.2533143974528,0,0.740856823611229,0.998008623367391
"8","reading_n_total_Norm","~~","reading_n_total_Norm",1,1,".p8.",0.471138392636564,0.03399236379307,13.8601244533814,0,0.404514583852764,0.537762201420365
"9","sums_n_total_Norm","~~","sums_n_total_Norm",1,1,".p9.",0.327652276044787,0.0301215557871744,10.8776677526165,0,0.268615111543611,0.386689440545963
"10","digit_span_n_correct_Norm","~~","digit_span_n_correct_Norm",1,1,".p10.",0.666228233352153,0.0409661221952092,16.2629069497348,0,0.585936109263276,0.74652035744103
"11","dot_matrix_n_correct_Norm","~~","dot_matrix_n_correct_Norm",1,1,".p11.",0.611725013046393,0.0392902735822234,15.5693752492261,0,0.53471749188251,0.688732534210277
"12","cancellation_marked_intertime_Norm","~~","cancellation_marked_intertime_Norm",1,1,".p12.",0.761677565799687,0.0470784009336705,16.1789175225562,0,0.669405595519956,0.853949536079418
"13","ans_IRT_ScoreNorm","~~","ans_IRT_ScoreNorm",1,1,".p13.",0.604339257322224,0.0394688013951943,15.3118218937302,0,0.526981828074679,0.68169668656977
"14","cattell_IRT_ScoreNorm","~~","cattell_IRT_ScoreNorm",1,1,".p14.",0.66360634192524,0.0448696880990666,14.7896357215607,0,0.575663369253524,0.751549314596956
"15","IQ","~~","IQ",1,1,"",0.558047424254802,0.0586785034812279,9.51025317871867,0,0.443039670764887,0.673055177744717
"16","reading_n_total_Norm","~1","",1,1,".p16.",0.0280955221799118,0.0401988178777663,0.69891413885211,0.484605690930968,-0.0506927130815949,0.106883757441419
"17","sums_n_total_Norm","~1","",1,1,".p17.",-0.0164258073771388,0.0400023515952746,-0.410621044065799,0.681350430420311,-0.0948289758007853,0.0619773610465077
"18","digit_span_n_correct_Norm","~1","",1,1,".p18.",-0.0284813159913877,0.0386924028214643,-0.736095820226183,0.461672386297876,-0.104317031996774,0.0473544000139984
"19","dot_matrix_n_correct_Norm","~1","",1,1,".p19.",-0.00590329988929832,0.039513355682932,-0.149400115157729,0.881237920867875,-0.083348053936166,0.0715414541575694
"20","cancellation_marked_intertime_Norm","~1","",1,1,".p20.",-0.034762394457301,0.0418891716884826,-0.829865883140843,0.406614616068618,-0.116863662308942,0.0473388733943398
"21","ans_IRT_ScoreNorm","~1","",1,1,".p21.",-0.0640738301350016,0.0395521963973098,-1.61998159321841,0.105236230967788,-0.141594710583184,0.0134470503131805
"22","cattell_IRT_ScoreNorm","~1","",1,1,".p22.",0.00980729425111303,0.0427859394902975,0.229217690856993,0.81869972327644,-0.0740516061945801,0.0936661946968061
"23","IQ","~1","",1,1,"",0,0,NA,NA,0,0
"24","IQ","=~","reading_n_total_Norm",2,2,"",1,0,NA,NA,1,1
"25","IQ","=~","sums_n_total_Norm",2,2,".p2.",1.11960767712157,0.0610604722858298,18.336046794407,0,0.999931350562338,1.2392840036808
"26","IQ","=~","digit_span_n_correct_Norm",2,2,".p3.",0.699005551945901,0.0579160077782383,12.0692979153951,0,0.585492262572213,0.81251884131959
"27","IQ","=~","dot_matrix_n_correct_Norm",2,2,".p4.",0.806321227034996,0.060853199539821,13.2502684021956,0,0.687051147592918,0.925591306477075
"28","IQ","=~","cancellation_marked_intertime_Norm",2,2,".p5.",-0.774128846717148,0.0629836039495678,-12.2909582521986,0,-0.897574442074836,-0.650683251359461
"29","IQ","=~","ans_IRT_ScoreNorm",2,2,".p6.",0.766514030315447,0.0601902766993012,12.7348480909101,0,0.648543255765317,0.884484804865578
"30","IQ","=~","cattell_IRT_ScoreNorm",2,2,".p7.",0.86943272348931,0.0656011543539938,13.2533143974528,0,0.740856823611229,0.998008623367391
"31","reading_n_total_Norm","~~","reading_n_total_Norm",2,2,".p8.",0.471138392636564,0.03399236379307,13.8601244533814,0,0.404514583852764,0.537762201420365
"32","sums_n_total_Norm","~~","sums_n_total_Norm",2,2,".p9.",0.327652276044787,0.0301215557871744,10.8776677526165,0,0.268615111543611,0.386689440545963
"33","digit_span_n_correct_Norm","~~","digit_span_n_correct_Norm",2,2,".p10.",0.666228233352153,0.0409661221952092,16.2629069497348,0,0.585936109263276,0.74652035744103
"34","dot_matrix_n_correct_Norm","~~","dot_matrix_n_correct_Norm",2,2,".p11.",0.611725013046393,0.0392902735822235,15.5693752492261,0,0.53471749188251,0.688732534210277
"35","cancellation_marked_intertime_Norm","~~","cancellation_marked_intertime_Norm",2,2,".p12.",0.761677565799687,0.0470784009336706,16.1789175225562,0,0.669405595519956,0.853949536079418
"36","ans_IRT_ScoreNorm","~~","ans_IRT_ScoreNorm",2,2,".p13.",0.604339257322224,0.0394688013951944,15.3118218937302,0,0.526981828074679,0.68169668656977
"37","cattell_IRT_ScoreNorm","~~","cattell_IRT_ScoreNorm",2,2,".p14.",0.66360634192524,0.0448696880990666,14.7896357215607,0,0.575663369253525,0.751549314596956
"38","IQ","~~","IQ",2,2,"",0.388545614718915,0.0784780341453919,4.95101105615207,7.38289086976707e-07,0.234731494216442,0.542359735221387
"39","reading_n_total_Norm","~1","",2,2,".p16.",0.028095522179912,0.0401988178777663,0.698914138852114,0.484605690930966,-0.0506927130815948,0.106883757441419
"40","sums_n_total_Norm","~1","",2,2,".p17.",-0.0164258073771389,0.0400023515952746,-0.410621044065801,0.68135043042031,-0.0948289758007854,0.0619773610465076
"41","digit_span_n_correct_Norm","~1","",2,2,".p18.",-0.0284813159913876,0.0386924028214644,-0.736095820226181,0.461672386297878,-0.104317031996774,0.0473544000139985
"42","dot_matrix_n_correct_Norm","~1","",2,2,".p19.",-0.00590329988929836,0.039513355682932,-0.14940011515773,0.881237920867875,-0.0833480539361661,0.0715414541575694
"43","cancellation_marked_intertime_Norm","~1","",2,2,".p20.",-0.034762394457301,0.0418891716884827,-0.829865883140841,0.406614616068619,-0.116863662308942,0.0473388733943399
"44","ans_IRT_ScoreNorm","~1","",2,2,".p21.",-0.0640738301350017,0.0395521963973099,-1.61998159321841,0.105236230967788,-0.141594710583184,0.0134470503131805
"45","cattell_IRT_ScoreNorm","~1","",2,2,".p22.",0.00980729425111304,0.0427859394902975,0.229217690856994,0.81869972327644,-0.07405160619458,0.0936661946968061
"46","IQ","~1","",2,2,"",0,0,NA,NA,0,0
