"","lhs","op","rhs","block","group","label","est","se","z","pvalue","ci.lower","ci.upper"
"1","IQ","=~","reading_n_total_Norm",1,1,"",1,0,NA,NA,1,1
"2","IQ","=~","sums_n_total_Norm",1,1,".p2.",1.11733595402655,0.0610295902969433,18.3081018337184,0,0.997720155053305,1.23695175299979
"3","IQ","=~","digit_span_n_correct_Norm",1,1,".p3.",0.700932734058498,0.0579886912869325,12.0874039145017,0,0.587276987625499,0.814588480491497
"4","IQ","=~","dot_matrix_n_correct_Norm",1,1,".p4.",0.80688992249807,0.060888626344973,13.2518989330868,0,0.687550407793807,0.926229437202334
"5","IQ","=~","cancellation_marked_intertime_Norm",1,1,".p5.",-0.773604634705388,0.0630131663742893,-12.2768729016137,0,-0.897108171350826,-0.650101098059951
"6","IQ","=~","ans_IRT_ScoreNorm",1,1,".p6.",0.766247839818478,0.0601943085003094,12.729572926559,0,0.648269163083579,0.884226516553378
"7","IQ","=~","cattell_IRT_ScoreNorm",1,1,".p7.",0.872154051391851,0.0656944162009601,13.2759236146329,0,0.743395361652584,1.00091274113112
"8","reading_n_total_Norm","~~","reading_n_total_Norm",1,1,".p8.",0.471295495867803,0.034030262410559,13.8493053677297,0,0.404597407158661,0.537993584576946
"9","sums_n_total_Norm","~~","sums_n_total_Norm",1,1,".p9.",0.330545817332749,0.0302733606938158,10.9187024419219,0,0.27121112068188,0.389880513983619
"10","digit_span_n_correct_Norm","~~","digit_span_n_correct_Norm",1,1,".p10.",0.664868136926249,0.0409246819684217,16.2461405916184,0,0.584657234189386,0.745079039663111
"11","dot_matrix_n_correct_Norm","~~","dot_matrix_n_correct_Norm",1,1,".p11.",0.611086718889096,0.0392713740550657,15.5606146612604,0,0.534116240117766,0.688057197660425
"12","cancellation_marked_intertime_Norm","~~","cancellation_marked_intertime_Norm",1,1,".p12.",0.762208160321414,0.0471158952206231,16.1773040022338,0,0.66986270258963,0.854553618053198
"13","ans_IRT_ScoreNorm","~~","ans_IRT_ScoreNorm",1,1,".p13.",0.604318321270729,0.0394672675166317,15.3118865149726,0,0.526963898369923,0.681672744171534
"14","cattell_IRT_ScoreNorm","~~","cattell_IRT_ScoreNorm",1,1,".p14.",0.660940750741517,0.0448101676543752,14.7497941949116,0,0.57311443599774,0.748767065485294
"15","IQ","~~","IQ",1,1,"",0.557626368173145,0.0586498580568304,9.50771897235996,0,0.442674758683371,0.672577977662919
"16","reading_n_total_Norm","~1","",1,1,".p16.",0.00763924186201178,0.0432452519939319,0.176649262283954,0.85978389680606,-0.0771198945484538,0.0923983782724773
"17","sums_n_total_Norm","~1","",1,1,".p17.",-0.0392923635738511,0.0437764968717279,-0.897567562086659,0.369416139074439,-0.125092720811768,0.0465079936640659
